policy_name,budget,n_seeds,mean_error,median_error,error_p25,error_p75,policy_wins_vs_uniform,win_rate_vs_uniform,mean_relative_error_vs_uniform,median_relative_error_vs_uniform,relative_error_p25_vs_uniform,relative_error_p75_vs_uniform,policy_label,policy_order
stochastic_epsilon_greedy_eps0.2,630,30,6.423274517373422e-06,5.641207554018775e-06,4.117719169500523e-06,8.962584504316375e-06,10.0,0.3333333333333333,1.4824370635446578,1.2572160782011106,0.704077347505302,1.6484962277081405,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,675,30,5.579019851644384e-06,4.696508713910207e-06,3.309265167883995e-06,7.212514167968376e-06,14.0,0.4666666666666667,1.1513170738116578,1.0722506814377881,0.7784758001620428,1.4011752956760906,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,720,30,5.168999324983575e-06,4.906619902158145e-06,2.344688547979391e-06,6.704838175104037e-06,15.0,0.5,1.0877737443863722,1.0551498640403776,0.5343196494834741,1.3896804109201255,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,765,30,5.844521570514051e-06,4.685664299454374e-06,2.9734132117382717e-06,8.478048265029356e-06,12.0,0.4,1.5872448624500004,1.2657762003591122,0.8586245306418308,1.8960314014017479,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,810,30,4.687233952348643e-06,3.689165220836677e-06,2.5052747687788658e-06,5.404600048473559e-06,15.0,0.5,1.4115153183040619,1.0064085436251529,0.7350523113717506,1.6595253554099016,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,855,30,4.7663408006915586e-06,3.62230296232507e-06,2.0597588825411065e-06,5.679876709358281e-06,17.0,0.5666666666666667,1.0722631011628976,0.9762460743490885,0.6132803036756908,1.0916379660134212,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,900,30,6.0368813573380955e-06,3.536563540712374e-06,2.5578316948658962e-06,6.6599396328224725e-06,17.0,0.5666666666666667,1.2808308413606713,0.9372478202006406,0.6037153244524868,1.18364148187852,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,945,30,4.091056859038629e-06,3.313390394705698e-06,1.8595635090678544e-06,5.4829417184800385e-06,18.0,0.6,1.3309609011352064,0.9472191374863312,0.7555975818661373,1.6747145482971815,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,990,30,4.023083394577607e-06,3.5705271786888903e-06,2.007389178202956e-06,5.770038681725954e-06,16.0,0.5333333333333333,1.2979614464319567,0.925981078847127,0.7531976457935159,1.4818985214536617,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1035,30,4.5549415089793255e-06,3.5488962185270235e-06,2.618942478829713e-06,4.809462153214e-06,16.0,0.5333333333333333,1.225120153375937,0.9716889010856056,0.632636628351136,1.6624895851297494,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1080,30,3.452188550595333e-06,2.7011245777913778e-06,1.5150539822658627e-06,4.361809701103307e-06,17.0,0.5666666666666667,1.4965578428215929,0.9323307517379684,0.5880534594093937,1.5142359342374867,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1125,30,3.4440714387255194e-06,2.4032957751270833e-06,1.3871279689943358e-06,3.860143929967616e-06,19.0,0.6333333333333333,1.4433366807153372,0.8479406942396708,0.42558270989587804,1.564461227260833,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1170,30,3.89169021955864e-06,2.7668765063212244e-06,1.8184059580275032e-06,4.9629324781582484e-06,16.0,0.5333333333333333,1.4127191826660657,0.918923568930346,0.6586497558735529,1.9107034483485934,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1215,30,3.67388999012e-06,3.3540459100571064e-06,2.068495464783543e-06,4.720456450957058e-06,15.0,0.5,1.3660487277417523,1.0532194114584255,0.44718787982362934,1.5658151721829392,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1260,30,3.058033245027805e-06,2.7333531320500844e-06,1.6230191033056517e-06,4.251811546018548e-06,21.0,0.7,1.2413922751113622,0.7642415370694411,0.6224241140645619,1.3711329166358017,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1305,30,3.224381997929976e-06,2.936547315128415e-06,2.430891549135447e-06,4.006788883774711e-06,14.0,0.4666666666666667,1.4441272078055,1.047293469985094,0.7238806104049046,1.7170316126391554,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1350,30,4.138453857607178e-06,3.673970988079599e-06,2.2118290710154108e-06,4.591215954095429e-06,12.0,0.4,1.651175657116523,1.320775445851817,0.7170276525112713,1.917560555269357,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1395,30,2.8303708121853728e-06,2.40622665497343e-06,1.5881087298385578e-06,3.708726946065562e-06,18.0,0.6,1.0323102862407894,0.7153239492939132,0.393939851201649,1.218862624202501,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1440,30,2.6763318262236935e-06,2.457454383460246e-06,1.4736905125179169e-06,3.365464885304153e-06,18.0,0.6,1.3493387249481534,0.7620865712891294,0.4455347955155409,1.6131831993321728,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1485,30,2.900436350248924e-06,2.6698251507646838e-06,1.805234960249396e-06,3.1781364540138367e-06,13.0,0.43333333333333335,1.2095702796122978,1.1115812148564408,0.7717674961236956,1.4294199088589608,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1530,30,2.658980576431904e-06,1.953783661216722e-06,1.277860532137363e-06,2.6640871041162594e-06,21.0,0.7,0.9222071398788239,0.7133300010377456,0.4302075969952678,1.2575879126616498,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1575,30,2.8117660045838385e-06,2.0335040352243265e-06,1.3033019119015551e-06,3.53580002087434e-06,16.0,0.5333333333333333,1.3502652510495579,0.9798201468911196,0.5573290566112488,1.428014499246516,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1620,30,2.8233864042720036e-06,2.687785004946082e-06,1.4309453348635317e-06,4.099268053080367e-06,18.0,0.6,1.0670610168632793,0.9248904655743808,0.5171957673843561,1.3863298808557218,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1665,30,2.522646436366565e-06,2.2129760700689574e-06,1.2514941379938115e-06,2.881229330315583e-06,20.0,0.6666666666666666,1.10537587019102,0.6727239137335842,0.46752888721159347,1.1752956916638855,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1710,30,3.7456232665897087e-06,2.2162577783540524e-06,1.487284203350804e-06,4.235862464758537e-06,16.0,0.5333333333333333,1.9204718647691723,0.9803002031605854,0.5443836122485612,2.624725571713774,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1755,30,3.0067904062471747e-06,1.707634910833517e-06,1.1674329284161639e-06,3.5070342980905234e-06,17.0,0.5666666666666667,1.4498385988768374,0.921070020442633,0.5898119384976939,1.596222411641707,Stoch eps-greedy 0.2,1
stochastic_epsilon_greedy_eps0.2,1798,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Stoch eps-greedy 0.2,1
stochastic_exploration_bonus_c1.0,45,30,4.994846867156099e-05,4.6291629793680336e-05,2.4054123116245277e-05,7.234026798339375e-05,0.0,0.0,1.0,1.0,1.0,1.0,Stoch bonus c=1.0,2
