policy_name,base_policy_name,policy_kwargs,reveal_seed,decision_type,step_name,selected_count_after_initial_seed
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,bonus,T1571 - Defense Evasion: Non-Standard Port,195
greedy_loo_fragility,greedy_loo_fragility,{},505,all,T1583.005 - Resource Development: Acquire Botnet,195
greedy_loo_fragility,greedy_loo_fragility,{},505,exploit,T1583.005 - Resource Development: Acquire Botnet,195
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,all,T1583.005 - Resource Development: Acquire Botnet,195
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,exploit,T1583.005 - Resource Development: Acquire Botnet,173
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,explore,T1583.005 - Resource Development: Acquire Botnet,22
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,all,T1583.005 - Resource Development: Acquire Botnet,195
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,bonus,T1583.005 - Resource Development: Acquire Botnet,195
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,all,T1583.005 - Resource Development: Acquire Botnet,195
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,bonus,T1583.005 - Resource Development: Acquire Botnet,195
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,all,T1583.005 - Resource Development: Acquire Botnet,195
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,bonus,T1583.005 - Resource Development: Acquire Botnet,195
greedy_loo_fragility,greedy_loo_fragility,{},505,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
greedy_loo_fragility,greedy_loo_fragility,{},505,exploit,T1584.005 - Resource Development: Build/Compromise Botnet,194
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,exploit,T1584.005 - Resource Development: Build/Compromise Botnet,99
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,explore,T1584.005 - Resource Development: Build/Compromise Botnet,95
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,bonus,T1584.005 - Resource Development: Build/Compromise Botnet,194
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,bonus,T1584.005 - Resource Development: Build/Compromise Botnet,194
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,bonus,T1584.005 - Resource Development: Build/Compromise Botnet,194
greedy_loo_fragility,greedy_loo_fragility,{},505,all,T1590 - Reconnaissance: Gather Victim Network Information,194
greedy_loo_fragility,greedy_loo_fragility,{},505,exploit,T1590 - Reconnaissance: Gather Victim Network Information,194
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,all,T1590 - Reconnaissance: Gather Victim Network Information,194
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,exploit,T1590 - Reconnaissance: Gather Victim Network Information,178
epsilon_greedy_eps0.2,epsilon_greedy_loo_fragility,"{""epsilon"": 0.2}",505,explore,T1590 - Reconnaissance: Gather Victim Network Information,16
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,all,T1590 - Reconnaissance: Gather Victim Network Information,194
exploration_bonus_c0.25,exploration_bonus_loo_fragility,"{""c"": 0.25}",505,bonus,T1590 - Reconnaissance: Gather Victim Network Information,194
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,all,T1590 - Reconnaissance: Gather Victim Network Information,194
exploration_bonus_c0.5,exploration_bonus_loo_fragility,"{""c"": 0.5}",505,bonus,T1590 - Reconnaissance: Gather Victim Network Information,194
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,all,T1590 - Reconnaissance: Gather Victim Network Information,194
exploration_bonus_c1.0,exploration_bonus_loo_fragility,"{""c"": 1.0}",505,bonus,T1590 - Reconnaissance: Gather Victim Network Information,194
greedy_loo_fragility,greedy_loo_fragility,{},505,all,T1595 - Reconnaissance: Active Scanning,195
greedy_loo_fragility,greedy_loo_fragility,{},505,exploit,T1595 - Reconnaissance: Active Scanning,195
