policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
epsilon_greedy_eps0.2,2929,0.024500902625618173,2.4103269463876264e-05
epsilon_greedy_eps0.2,3030,0.009406325756477367,7.759882315709213e-06
exploration_bonus_c0.25,101,0.0072347646078524995,5.223141586894862e-06
exploration_bonus_c0.25,202,0.015305237318376942,1.0284778440548099e-05
exploration_bonus_c0.25,303,0.026364234165382423,2.6257135269499174e-05
exploration_bonus_c0.25,404,0.01102148715844066,1.81643711786445e-05
exploration_bonus_c0.25,505,0.03600974753703718,3.405369985616759e-05
exploration_bonus_c0.25,606,0.00810669071730245,1.5142068142532607e-05
exploration_bonus_c0.25,707,0.03216178919828908,2.6695674096916146e-05
exploration_bonus_c0.25,808,0.014384110119899342,1.2670898133549846e-05
exploration_bonus_c0.25,909,0.010087027062850386,8.346473641675808e-06
exploration_bonus_c0.25,1010,0.006174277902035098,7.31404984064703e-06
exploration_bonus_c0.25,1111,0.008090632418517051,1.1878359843064763e-05
exploration_bonus_c0.25,1212,0.008071100671348,1.499527039447651e-05
exploration_bonus_c0.25,1313,0.008291167818850236,1.4646073923859366e-05
exploration_bonus_c0.25,1414,0.01111246570851716,2.6717760584323928e-05
exploration_bonus_c0.25,1515,0.011279631359161383,1.6446151980216035e-05
exploration_bonus_c0.25,1616,0.02875038034363991,2.283993451080916e-05
exploration_bonus_c0.25,1717,0.011117618204877208,9.206120983979043e-06
exploration_bonus_c0.25,1818,0.010640166462190587,1.6940965029969672e-05
exploration_bonus_c0.25,1919,0.005445899772827635,4.735654093286209e-06
exploration_bonus_c0.25,2020,0.0059927240100175845,4.958206767241082e-06
exploration_bonus_c0.25,2121,0.00928793644457637,1.562222211974432e-05
exploration_bonus_c0.25,2222,0.008104592565370612,6.665246486712909e-06
exploration_bonus_c0.25,2323,0.007470383324417971,1.520203623633167e-05
exploration_bonus_c0.25,2424,0.01740881839885546,1.835249155487171e-05
exploration_bonus_c0.25,2525,0.010975731220564711,1.2863689110430169e-05
exploration_bonus_c0.25,2626,0.00585076758221935,7.5426054252237294e-06
exploration_bonus_c0.25,2727,0.01997649766948178,1.9035704010459294e-05
exploration_bonus_c0.25,2828,0.008241334316139142,2.53217231990512e-05
exploration_bonus_c0.25,2929,0.06525026481033172,4.166049775154887e-05
exploration_bonus_c0.25,3030,0.023180897871742802,1.266710520136225e-05
exploration_bonus_c0.5,101,0.008634761436400839,5.580826060490678e-06
exploration_bonus_c0.5,202,0.012304721254223772,9.17351976649249e-06
exploration_bonus_c0.5,303,0.014628093641116266,1.740298281569279e-05
exploration_bonus_c0.5,404,0.018342649051989412,2.2167848986975603e-05
exploration_bonus_c0.5,505,0.03440690399570788,3.385667945139177e-05
exploration_bonus_c0.5,606,0.00829183359830438,1.4608788294110458e-05
exploration_bonus_c0.5,707,0.012809090700693795,1.65733497160404e-05
exploration_bonus_c0.5,808,0.00886926252000025,1.002420322351762e-05
exploration_bonus_c0.5,909,0.008251490180538902,7.932759086963923e-06
exploration_bonus_c0.5,1010,0.009465334415001121,8.98790390822608e-06
exploration_bonus_c0.5,1111,0.010591643680495028,1.1527049231509353e-05
exploration_bonus_c0.5,1212,0.013196333082069111,1.7193317235558267e-05
exploration_bonus_c0.5,1313,0.013886672878070994,1.646130410189401e-05
exploration_bonus_c0.5,1414,0.014413310063059051,2.7690490143607156e-05
exploration_bonus_c0.5,1515,0.010461670778598301,1.716341075908702e-05
exploration_bonus_c0.5,1616,0.01922885147188748,2.059795597842199e-05
exploration_bonus_c0.5,1717,0.005391402615107709,8.15639457521833e-06
exploration_bonus_c0.5,1818,0.012307184459447904,1.7097301097931584e-05
exploration_bonus_c0.5,1919,0.006646975546375406,4.944811638323857e-06
exploration_bonus_c0.5,2020,0.013564435600279732,7.072784006577902e-06
exploration_bonus_c0.5,2121,0.017027755505434047,1.80966374002187e-05
exploration_bonus_c0.5,2222,0.006639409503488846,6.2008164373892584e-06
exploration_bonus_c0.5,2323,0.020663062098380612,2.2328394026105696e-05
exploration_bonus_c0.5,2424,0.01998648109408284,1.9237284665413816e-05
exploration_bonus_c0.5,2525,0.008564825359610572,9.083319282745158e-06
exploration_bonus_c0.5,2626,0.009847381186331806,9.392109992837949e-06
exploration_bonus_c0.5,2727,0.016965749230471817,1.7054723754190473e-05
exploration_bonus_c0.5,2828,0.010884125118336342,2.6327077115572165e-05
exploration_bonus_c0.5,2929,0.06254546257943343,4.130688836583674e-05
exploration_bonus_c0.5,3030,0.015695596498486144,9.187175932978022e-06
exploration_bonus_c1.0,101,0.006012621916095377,4.989356665788962e-06
exploration_bonus_c1.0,202,0.015412797549556339,1.0571506472284355e-05
exploration_bonus_c1.0,303,0.017147050937748955,1.8177610722788343e-05
exploration_bonus_c1.0,404,0.008407549437559779,1.775793673842605e-05
exploration_bonus_c1.0,505,0.03338684016669139,3.321367892591313e-05
exploration_bonus_c1.0,606,0.007647360975756561,1.4601895544490791e-05
