policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
exploration_bonus_c0.25,1125,30,1,0.03333333333333333,2.9522200020420582e-05,1.844725162004426e-05,10.21562700617438
exploration_bonus_c0.25,1170,30,4,0.13333333333333333,2.5572854321509025e-05,1.476702530416948e-05,10.743364702681534
exploration_bonus_c0.25,1215,30,3,0.1,2.869479839771282e-05,1.8608107916146473e-05,11.126176533603672
exploration_bonus_c0.25,1260,30,2,0.06666666666666667,2.2611344561907917e-05,1.5271681556851568e-05,11.087208210907464
exploration_bonus_c0.25,1305,30,2,0.06666666666666667,1.7737180681633476e-05,1.0161381654579693e-05,8.175107352812674
exploration_bonus_c0.25,1350,30,3,0.1,1.814166999145361e-05,1.0369544097588438e-05,8.392106399990015
exploration_bonus_c0.25,1395,30,4,0.13333333333333333,1.468224645771642e-05,9.792118758822087e-06,6.5500036194743325
exploration_bonus_c0.25,1440,30,3,0.1,1.6259849642891092e-05,8.591803993572001e-06,7.807058950678843
exploration_bonus_c0.25,1485,30,0,0.0,1.4615680933688514e-05,8.504125309958223e-06,10.094925797733476
exploration_bonus_c0.25,1530,30,5,0.16666666666666666,1.4626829019081533e-05,1.0188041186755017e-05,8.097986811860078
exploration_bonus_c0.25,1575,30,1,0.03333333333333333,1.4084010844764634e-05,7.474736358466554e-06,10.007566988950204
exploration_bonus_c0.25,1620,30,2,0.06666666666666667,8.063417095050105e-06,5.013900740075666e-06,3.4798621659955793
exploration_bonus_c0.25,1665,30,10,0.3333333333333333,1.4670950185496702e-06,1.6715862395433148e-06,0.7982114896092305
exploration_bonus_c0.25,1710,30,16,0.5333333333333333,-7.841436704091082e-08,-6.708741444487752e-08,0.5944744568526766
exploration_bonus_c0.25,1755,30,18,0.6,3.839592989844299e-07,-4.369241634374316e-07,0.8386887847811894
exploration_bonus_c0.25,1798,30,0,0.0,0.0,0.0,
exploration_bonus_c0.5,45,30,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.5,90,30,6,0.2,2.692947341206919e-05,1.6637618096904134e-05,2.4011602524783333
exploration_bonus_c0.5,135,30,3,0.1,3.0902168210307835e-05,2.499429842965891e-05,2.994665072296621
exploration_bonus_c0.5,180,30,3,0.1,3.242487706256238e-05,1.8390764017445482e-05,4.8185014726877275
exploration_bonus_c0.5,225,30,2,0.06666666666666667,3.654238340281259e-05,2.1524990700393547e-05,4.472730324365525
exploration_bonus_c0.5,270,30,1,0.03333333333333333,3.2417375214856714e-05,1.8809627072239677e-05,5.864593857228575
exploration_bonus_c0.5,315,30,3,0.1,3.871000681948935e-05,2.177569148923879e-05,7.327303813732894
exploration_bonus_c0.5,360,30,4,0.13333333333333333,3.094998986794156e-05,2.2530495585340712e-05,6.172757276686588
exploration_bonus_c0.5,405,30,1,0.03333333333333333,3.4567579539014356e-05,2.5941816911085796e-05,6.615046151947241
exploration_bonus_c0.5,450,30,1,0.03333333333333333,3.769841524076676e-05,2.7245037589097607e-05,8.735666769839638
exploration_bonus_c0.5,495,30,0,0.0,4.007182268755678e-05,3.0379383282471074e-05,11.08527078465679
exploration_bonus_c0.5,540,30,1,0.03333333333333333,3.6411808044656395e-05,2.2887456159262042e-05,11.615751280126743
exploration_bonus_c0.5,585,30,0,0.0,3.5512788688870534e-05,2.2748064210448614e-05,9.166534479018164
exploration_bonus_c0.5,630,30,1,0.03333333333333333,3.366269165952818e-05,2.1271357811419278e-05,8.374315589009559
exploration_bonus_c0.5,675,30,1,0.03333333333333333,3.609673987189148e-05,2.6457907329251673e-05,9.156518795997538
exploration_bonus_c0.5,720,30,3,0.1,3.2329330367952364e-05,2.00555726234957e-05,9.083395295859669
exploration_bonus_c0.5,765,30,1,0.03333333333333333,3.129581832416113e-05,1.976392362884118e-05,12.706615958987603
exploration_bonus_c0.5,810,30,0,0.0,3.254789130547585e-05,1.834775624922283e-05,11.360858723880181
exploration_bonus_c0.5,855,30,0,0.0,3.4011704155503766e-05,2.022666311284234e-05,11.111711482138945
exploration_bonus_c0.5,900,30,2,0.06666666666666667,2.96028881437205e-05,1.6007932565000318e-05,10.157876804521067
exploration_bonus_c0.5,945,30,1,0.03333333333333333,3.061140067389134e-05,1.601432008177414e-05,11.920926969051076
exploration_bonus_c0.5,990,30,1,0.03333333333333333,2.929508487667477e-05,1.61700354122088e-05,11.16824553269171
exploration_bonus_c0.5,1035,30,4,0.13333333333333333,2.766969556556957e-05,2.2010192583337855e-05,9.5883415605546
exploration_bonus_c0.5,1080,30,2,0.06666666666666667,2.304947339723901e-05,1.5131625459115358e-05,12.29116674091006
exploration_bonus_c0.5,1125,30,1,0.03333333333333333,2.505771344834343e-05,1.5185573613536618e-05,14.019767143581053
exploration_bonus_c0.5,1170,30,3,0.1,2.3184718219978466e-05,1.2471913301272906e-05,9.989237571704228
exploration_bonus_c0.5,1215,30,2,0.06666666666666667,2.4027187431739314e-05,1.3354014121978907e-05,11.864297540496445
exploration_bonus_c0.5,1260,30,0,0.0,2.2965160991903766e-05,1.2194217441917928e-05,11.436074439316767
exploration_bonus_c0.5,1305,30,2,0.06666666666666667,2.0282954396981818e-05,1.2400193536504585e-05,10.676274531281583
exploration_bonus_c0.5,1350,30,3,0.1,2.0231488122259914e-05,1.2878310528786869e-05,9.490646237402775
exploration_bonus_c0.5,1395,30,2,0.06666666666666667,1.906894779916744e-05,8.166941745419158e-06,12.750653517725558
exploration_bonus_c0.5,1440,30,1,0.03333333333333333,1.7976847425459407e-05,1.0233791809572623e-05,8.078950655767027
exploration_bonus_c0.5,1485,30,4,0.13333333333333333,1.7828481274364944e-05,1.047229781547253e-05,8.598565770141313
exploration_bonus_c0.5,1530,30,3,0.1,1.3468036381958177e-05,6.210803026901918e-06,6.817580501852346
exploration_bonus_c0.5,1575,30,3,0.1,1.4412675586976196e-05,5.401393239515862e-06,8.365689044824792
exploration_bonus_c0.5,1620,30,1,0.03333333333333333,4.987530715259611e-06,3.743117267916696e-06,2.103046966648524
