policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
stochastic_exploration_bonus_c0.5,1575,30,15,0.5,5.481137231615395e-07,-9.899589428836692e-08,0.41181877872548056
stochastic_exploration_bonus_c0.5,1620,30,17,0.5666666666666667,-4.3525480435649064e-07,-1.5095541350209387e-07,0.2143576338929614
stochastic_exploration_bonus_c0.5,1665,30,17,0.5666666666666667,-3.1929272317736184e-07,-7.384980188655129e-07,0.2592745112793183
stochastic_exploration_bonus_c0.5,1710,30,12,0.4,7.693497179577309e-07,3.593774055456334e-07,1.313975082421708
stochastic_exploration_bonus_c0.5,1755,30,16,0.5333333333333333,6.824771698998032e-08,-3.4788137796594905e-07,0.48238591116130186
stochastic_exploration_bonus_c0.5,1798,30,0,0.0,0.0,0.0,
stochastic_exploration_bonus_c1.0,45,30,0,0.0,0.0,0.0,0.0
stochastic_exploration_bonus_c1.0,90,30,11,0.36666666666666664,1.1726108264845554e-05,1.2720508792784185e-05,1.0652933109449494
stochastic_exploration_bonus_c1.0,135,30,10,0.3333333333333333,6.83218578160256e-06,4.058305172301274e-06,1.1941996749940327
stochastic_exploration_bonus_c1.0,180,30,10,0.3333333333333333,4.446565825464305e-06,2.275529266017382e-06,0.5815847390406693
stochastic_exploration_bonus_c1.0,225,30,16,0.5333333333333333,2.3368301408908477e-06,-1.7931963125730032e-07,0.15358282210038102
stochastic_exploration_bonus_c1.0,270,30,11,0.36666666666666664,5.36516256659251e-07,5.209110770257286e-07,0.32095727047763745
stochastic_exploration_bonus_c1.0,315,30,10,0.3333333333333333,1.1103840292577434e-06,1.3405616754648465e-06,0.4141385128892568
stochastic_exploration_bonus_c1.0,360,30,15,0.5,1.6618706113162504e-07,4.857406965504e-07,0.17752092204998243
stochastic_exploration_bonus_c1.0,405,30,17,0.5666666666666667,4.927622172354573e-07,-1.6266534359325797e-07,0.2050246182762307
