reveal_seed,budget,max_loo_terms_per_step,step_name,exact_loo_fragility,approx_loo_fragility,absolute_error,relative_absolute_error,exact_rank,approx_rank,n_revealed,exact_n_loo_terms_used,approx_n_loo_terms_used,exact_n_loo_terms_available,approx_n_loo_terms_available,approx_loo_subsampled
202,180,10,T1590 - Reconnaissance: Gather Victim Network Information,5.1476273166768766e-05,4.366999588685637e-05,7.806277279912395e-06,0.1516480632343793,6.0,9.0,20,20,10,20,20,True
202,180,10,T1595 - Reconnaissance: Active Scanning,4.05811793392124e-05,4.858237769526124e-05,8.001198356048837e-06,0.19716524480480707,9.0,6.0,20,20,10,20,20,True
202,180,10,TA0011 - Command-and-Control,5.3696239765074706e-05,6.116019562569994e-05,7.463955860625236e-06,0.1390033222862031,3.0,2.0,20,20,10,20,20,True
202,180,20,T1036 - Defense Evasion: Masquerading,5.141070717348394e-05,5.141070717348394e-05,0.0,0.0,7.0,7.0,20,20,20,20,20,False
202,180,20,T1498.001 - Impact: Direct Network Flood,5.434986424781016e-05,5.434986424781016e-05,0.0,0.0,2.0,2.0,20,20,20,20,20,False
202,180,20,T1498.002 - Impact: Reflection/Amplification Attack,5.9787953123151715e-05,5.9787953123151715e-05,0.0,0.0,1.0,1.0,20,20,20,20,20,False
202,180,20,T1571 - Defense Evasion: Non-Standard Port,4.919116386365903e-05,4.919116386365903e-05,0.0,0.0,8.0,8.0,20,20,20,20,20,False
202,180,20,T1583.005 - Resource Development: Acquire Botnet,5.2133639833021754e-05,5.2133639833021754e-05,0.0,0.0,5.0,5.0,20,20,20,20,20,False
202,180,20,T1584.005 - Resource Development: Build/Compromise Botnet,5.213862259895425e-05,5.213862259895425e-05,0.0,0.0,4.0,4.0,20,20,20,20,20,False
202,180,20,T1590 - Reconnaissance: Gather Victim Network Information,5.1476273166768766e-05,5.1476273166768766e-05,0.0,0.0,6.0,6.0,20,20,20,20,20,False
202,180,20,T1595 - Reconnaissance: Active Scanning,4.05811793392124e-05,4.05811793392124e-05,0.0,0.0,9.0,9.0,20,20,20,20,20,False
202,180,20,TA0011 - Command-and-Control,5.3696239765074706e-05,5.3696239765074706e-05,0.0,0.0,3.0,3.0,20,20,20,20,20,False
202,720,10,T1036 - Defense Evasion: Masquerading,5.876902007639879e-05,6.346555137717383e-05,4.6965313007750465e-06,0.07991508476327401,5.0,2.0,80,80,10,80,80,True
202,720,10,T1498.001 - Impact: Direct Network Flood,6.819178177903747e-05,5.642694295631538e-05,1.1764838822722096e-05,0.17252575520490238,1.0,4.0,80,80,10,80,80,True
202,720,10,T1498.002 - Impact: Reflection/Amplification Attack,6.025760562388988e-05,5.381460605419059e-05,6.442999569699293e-06,0.10692425289830355,4.0,6.0,80,80,10,80,80,True
202,720,10,T1571 - Defense Evasion: Non-Standard Port,5.7863506671622137e-05,5.900769581008733e-05,1.1441891384651924e-06,0.019773933252690352,8.0,3.0,80,80,10,80,80,True
202,720,10,T1583.005 - Resource Development: Acquire Botnet,5.8719847953853704e-05,6.926542888634883e-05,1.054558093249513e-05,0.17959141789997807,6.0,1.0,80,80,10,80,80,True
202,720,10,T1584.005 - Resource Development: Build/Compromise Botnet,5.6090675471457806e-05,5.5370627966609654e-05,7.200475048481521e-07,0.012837204864422594,9.0,5.0,80,80,10,80,80,True
202,720,10,T1590 - Reconnaissance: Gather Victim Network Information,5.815327999616161e-05,5.368583098623716e-05,4.467449009924446e-06,0.07682195971400682,7.0,7.0,80,80,10,80,80,True
202,720,10,T1595 - Reconnaissance: Active Scanning,6.714113724854714e-05,4.1649193962255254e-05,2.549194328629188e-05,0.37967696037449145,2.0,9.0,80,80,10,80,80,True
202,720,10,TA0011 - Command-and-Control,6.645038207003921e-05,5.160733646669459e-05,1.484304560334462e-05,0.2233703542039771,3.0,8.0,80,80,10,80,80,True
202,720,20,T1036 - Defense Evasion: Masquerading,5.876902007639879e-05,5.248167003816236e-05,6.287350038236429e-06,0.10698408656599834,5.0,9.0,80,80,20,80,80,True
202,720,20,T1498.001 - Impact: Direct Network Flood,6.819178177903747e-05,6.49496852724622e-05,3.242096506575267e-06,0.047543800359064754,1.0,1.0,80,80,20,80,80,True
202,720,20,T1498.002 - Impact: Reflection/Amplification Attack,6.025760562388988e-05,5.554661370333603e-05,4.7109919205538535e-06,0.07818086685650276,4.0,6.0,80,80,20,80,80,True
202,720,20,T1571 - Defense Evasion: Non-Standard Port,5.7863506671622137e-05,5.929405808085972e-05,1.430551409237584e-06,0.024722860172183544,8.0,5.0,80,80,20,80,80,True
202,720,20,T1583.005 - Resource Development: Acquire Botnet,5.8719847953853704e-05,6.056330186918487e-05,1.843453915331167e-06,0.03139405070302354,6.0,4.0,80,80,20,80,80,True
202,720,20,T1584.005 - Resource Development: Build/Compromise Botnet,5.6090675471457806e-05,5.347654741395804e-05,2.6141280574997635e-06,0.04660539365807049,9.0,7.0,80,80,20,80,80,True
202,720,20,T1590 - Reconnaissance: Gather Victim Network Information,5.815327999616161e-05,6.299485794603447e-05,4.841577949872866e-06,0.08325545638933825,7.0,2.0,80,80,20,80,80,True
202,720,20,T1595 - Reconnaissance: Active Scanning,6.714113724854714e-05,6.180183600715296e-05,5.339301241394172e-06,0.07952354369729067,2.0,3.0,80,80,20,80,80,True
202,720,20,TA0011 - Command-and-Control,6.645038207003921e-05,5.29457230061389e-05,1.3504659063900309e-05,0.2032292131358565,3.0,8.0,80,80,20,80,80,True
